time_point,pitch_names
6.760000000,"[""F#3"", ""G3"", ""G#3"", ""G5""]"
6.780000000,"[""F#3"", ""G3"", ""G#3"", ""F#5"", ""G5"", ""G#5""]"
6.800000000,"[""F#3"", ""G3"", ""G#3"", ""E4"", ""F#5"", ""G5"", ""G#5""]"
6.820000000,"[""F#3"", ""G3"", ""G#3"", ""E4"", ""F#5"", ""G5""]"
6.840000000,"[""F#3"", ""G3"", ""G#3"", ""E4"", ""F#5"", ""G5""]"
6.860000000,"[""F#3"", ""G3"", ""E4"", ""F#5"", ""G5""]"
6.880000000,"[""F#3"", ""G3"", ""F#5"", ""G5""]"
6.900000000,"[""F#3"", ""G3"", ""G#3"", ""G5""]"
6.920000000,"[""F#3"", ""G3"", ""G#3""]"
6.940000000,"[""F#3"", ""G3"", ""G#3"", ""E4""]"
6.960000000,"[""F#3"", ""G3"", ""G#3"", ""E4"", ""A#4""]"
6.980000000,"[""F#3"", ""G3"", ""A#4""]"
7.000000000,"[""F#3"", ""G3"", ""A#3""]"
7.020000000,"[""F#3"", ""G3"", ""G#3"", ""A#3""]"
7.040000000,"[""F#3"", ""G3"", ""G#3"", ""A#3""]"
7.060000000,"[""F#3"", ""G3"", ""G#3""]"
7.080000000,"[""F#3"", ""G3"", ""G#3"", ""E4"", ""C5""]"
7.100000000,"[""F#3"", ""G3"", ""G#3"", ""E4"", ""C5"", ""F5""]"
7.120000000,"[""F#3"", ""G3"", ""G#3"", ""E4"", ""C5"", ""F5"", ""F#5""]"
7.140000000,"[""F#3"", ""G3"", ""G#3"", ""E4"", ""C5"", ""F5"", ""F#5""]"
7.160000000,"[""F#3"", ""G3"", ""G#3"", ""C5"", ""G5"", ""G#5"", ""A5""]"
7.180000000,"[""F#3"", ""G3"", ""G#3"", ""C5"", ""G5"", ""G#5"", ""A5""]"
7.200000000,"[""F#3"", ""G3"", ""G5"", ""G#5"", ""C6"", ""C#6""]"
